blk_cd,od_cnt,hd_pop,hd_kpop,blk_ar,hd_ar,blk_pop,blk_kpop,tratio,tratio2,dist_s1,dist_s2,dist_r1,dist_r2,apt_kpop,blk_kpop2,esti1
"426045",2.5,"66188","48050",1,7006638.008,0.00944647060750509,0.00685778256920619,0,0,"2458","2709","523","523",0,0,1.93741187397064
"426296",5.5,"108027","80263",1,3589811.5865,0.0300926657004092,0.0223585550567168,0,0,"3591","3706","126","126",0,0,0.412804931970243
"426319",3.3,"108027","80263",770.97,3589811.5865,23.2005424750445,17.2377751920769,0,0,"3845","3961","83","83",0,0,0.267582681098548
"426575",1,"17318","12987",1,2358990.837,0.00734127480631668,0.00550532023961397,1,0,"480","1342","458","458",0,0,13.6193391238844
"426647",7,"108027","80263",970.53,3589811.5865,29.2058348422181,21.6996484391953,0,0,"3237","3352","182","182",0,0,0.659411345080319
"284359",2.3,"18419","14401",1,2110219.577,0.00872847555806748,0.00682440830184754,0,0,"2280","1515","2707","2315",0,0,10.2157918307843
"426857",27.3,"20102","15498",1,5406272.212,0.00371827374052322,0.00286667030298622,1,0,"504","446","444","444",0,0,13.5658577094714
"426970",2.8,"18104","13772",1,5462050.863,0.00331450593450836,0.00252139724536285,1,0,"296","297","468","469",0,0,13.660537262688
"427492",1.3,"25737","18512",481.29,974872.762,12.7062332776511,9.13928548144214,0,0,"5998","0","62","62",0,0,0.138780235412986
"428119",11.3,"25737","18512",127.37,974872.762,3.36261491527855,2.4186473680552,0,0,"5897","0","59","58",0,0,0.120534729694263
"428930",30.8,"23987","17930",1415.2,2501193.257,13.5720829667981,10.1449721763743,0,0,"2122","2107","325","325",0,0,1.20635659399623
"429218",12.8,"48209","32482",1,7870722.81,0.00612510453788932,0.00412693989918316,0,0,"2022","2013","377","377",0,0,1.39206234026023
"429229",1.3,"42070","30560",17769.65,6988621.029,106.969482591471,77.7035271688932,1,0,"198","92","196","196",0,0,12.7322383641565
"429344",3,"57156","41193",1,9985495.767,0.00572390208094512,0.00412528340717287,0,0,"537","465","211","211",0,0,0.789818338116729
"429435",1.8,"48909","35087",1,9422016.316,0.00519092711789781,0.00372393751223048,0.968775099185799,0.968775099185799,"489","438","389","372",0,0,12.9863882511032
"429479",0.3,"48909","35087",1,9422016.316,0.00519092711789781,0.00372393751223048,1,1,"325","275","324","305",0,0,13.1144008187751
"429573",1.3,"48909","35087",1,9422016.316,0.00519092711789781,0.00372393751223048,1,1,"198","99","197","176",0,0,12.6354838187751
"429979",2.8,"52131","39883",82038.82,282013832.584,15.1650920319525,11.6021055707805,1,1,"767","748","258","258",0,0,12.8713791246086
"430158",3.3,"39561","26910",5728.94,7932235.931,28.5723467268866,19.4353492181825,1,0,"1795","1739","231","231",0,0,12.7607083418883
